#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_apostolic_adj;Armenian Apostolic;;;;;;;;;;;;;x
d_bogomilist;Bogomil Church;;;;;;;;;;;;;x
d_bogomilist_adj;Bogomil;;;;;;;;;;;;;x
d_cathar;Cathar Patriarchy;;;;;;;;;;;;;x
d_druze;Druze Sheikhdom;;;;;;;;;;;;;x
d_ismaili;Isma‘ili Caliphate;;;;;;;;;;;;;x
d_ismaili_adj;Isma‘ili;;;;;;;;;;;;;x
d_mahdiyya;Mahdist Caliphate;;;;;;;;;;;;;x
d_mahdiyya_adj;Mahdist;;;;;;;;;;;;;x
d_manichean;Manichaean Church;;;;;;;;;;;;;x
d_mazdaki;Mazdakite Priesthood;;;;;;;;;;;;;x
d_mazdaki_adj;Mazdakite;;;;;;;;;;;;;x
d_messalian;Euchite Patriarchy;;;;;;;;;;;;;x
d_nabawiyya;Nabawite Malikate;;;;;;;;;;;;;x
d_shiite;Shi‘ite Imamate;;;;;;;;;;;;;x
d_shiite_adj;Shi‘ite;;;;;;;;;;;;;x
d_zaydi;Zaydi Caliphate;;;;;;;;;;;;;x
temple_barony_of_druze;Khalwa of;;;;;;;;;;;;;x
k_emf_lower_lorraine;Lorraine;;;;;;;;;;;;;x
k_emf_lower_lorraine_adj;Lorrainian;;;;;;;;;;;;;x
k_emf_saxony;Saxony;;;;;;;;;;;;;x
k_emf_saxony_adj;Saxon;;;;;;;;;;;;;x
k_emf_franconia;Franconia;;;;;;;;;;;;;x
k_emf_franconia_adj;Franconian;;;;;;;;;;;;;x
k_emf_bavaria;Bavaria;;;;;;;;;;;;;x
k_emf_bavaria_adj;Bavarian;;;;;;;;;;;;;x
k_emf_schwaben;Swabia;;;;;;;;;;;;;x
k_emf_schwaben_adj;Swabian;;;;;;;;;;;;;x
ca_imperial_dec_desc;The decay and corruption within the imperial government has reduced its effectiveness at recruiting and maintaining a standing army.;;;;;;;;;;;;;x
d_saqaliba_adj;Saqaliba;;;;;;;;;;;;;x
e_hre_french;Holy Roman Empire;;;;;;;;;;;;;x
e_hre_french_adj;Imperial;;;;;;;;;;;;;x
BM_OSMANS_DREAM_DESC;With the breakup of the Sultanate of Rum and the decline of the Byzantine Empire, several warlords in Anatolia seek fame and glory in the ensuing power vacuum. Foremost among them is Osman, a pious and brave man. According to a dream he had many, many years ago, great things are in store for Osman and his dynasty. They might even conquer great Constantinople one day. But the journey to Constantinople won’t be easy, and the Byzantine Empire, which has resisted attack after attack for almost a thousand years, will not go down without a fight.;;;;;;;;;;;;;x
BM_KHITAN_DESC;For more than two centuries, the Khitan were the rightful rulers of northern China, perfectly balancing their traditional, nomadic way of life, and the urbane, sophisticated culture of their Chinese subjects. However, overthrown by their Jurchen vassals in the early years of the 12th century, remnants of the once-great Khitan have fled to Central Asia, where they seek to re-create their imperial splendor. Having just defeated the once-mighty Karakhanids and the Seljuks, the Khitan now have a foothold in the region. Will they continue their conquests, spreading their Sinicized nomadic culture and their Buddhist faith, or will they settle down, content with re-creating their Chinese empire in Central Asia? All that is certain is that the Khitan are not the first horde to appear suddenly from the far east, nor will they be the last.;;;;;;;;;;;;;x
